Date	GBP/CHF			
05 Jan 06	22.442			
06 Jan 06	22.497			
09 Jan 06	22.537			
10 Jan 06	22.588			
11 Jan 06	22.516			
12 Jan 06	2.265			
13 Jan 06	22.716			
16 Jan 06	22.623			
17 Jan 06	22.604			
18 Jan 06	22.567			
19 Jan 06	22.584			
20 Jan 06	22.629			
23 Jan 06	22.492			
24 Jan 06	2.25			
25 Jan 06	22.551			
26 Jan 06	22.624			
27 Jan 06	22.659			
30 Jan 06	22.756			
31 Jan 06	22.773			
01/02/2006	22.849			
02/02/2006	22.878			
03/02/2006	22.803			
06/02/2006	22.745			
07/02/2006	22.661			
08/02/2006	22.653			
09/02/2006	2.265			
10/02/2006	22.779			
13/02/2006	22.777			
14/02/2006	22.697			
15/02/2006	22.829			
16/02/2006	2.276			
17/02/2006	22.834			
20/02/2006	22.794			
21/02/2006	22.825			
22/02/2006	22.877			
23/02/2006	22.915			
24/02/2006	22.981			
27/02/2006	22.968			
28/02/2006	22.969			
01/03/2006	22.985			
02/03/2006	22.825			
03/03/2006	22.797			
06/03/2006	22.756			
07/03/2006	22.781			
08/03/2006	22.719			
09/03/2006	22.805			
10/03/2006	22.793			
13/03/2006	22.755			
14/03/2006	22.736			
15/03/2006	22.717			
16/03/2006	22.685			
17/03/2006	22.664			
20/03/2006	22.655			
21/03/2006	22.754			
22/03/2006	22.756			
23/03/2006	2.284			
24/03/2006	22.842			
27/03/2006	22.869			
28/03/2006	22.757			
29/03/2006	22.743			
30/03/2006	2.265			
31/03/2006	22.663			
03/04/2006	22.688			
04/04/2006	22.632			
05/04/2006	22.499			
06/04/2006	22.588			
07/04/2006	22.674			
10/04/2006	22.709			
11/04/2006	22.704			
12/04/2006	22.761			
13/04/2006	22.775			
18/04/2006	22.661			
19/04/2006	22.741			
20/04/2006	22.737			
21/04/2006	22.741			
24/04/2006	22.661			
25/04/2006	22.695			
26/04/2006	22.695			
27/04/2006	22.717			
28/04/2006	22.609			
02 May 06	22.729			
03 May 06	22.782			
04 May 06	22.738			
05 May 06	22.773			
08 May 06	22.825			
09 May 06	22.781			
10 May 06	22.722			
11 May 06	22.831			
12 May 06	22.733			
15 May 06	22.745			
16 May 06	22.784			
17 May 06	22.864			
18 May 06	22.883			
19 May 06	22.886			
22 May 06	22.735			
23 May 06	22.747			
24 May 06	22.737			
25 May 06	22.791			
26 May 06	22.781			
30 May 06	22.793			
31 May 06	22.733			
01 Jun 06	22.759			
02 Jun 06	22.751			
05 Jun 06	22.601			
06 Jun 06	22.647			
07 Jun 06	22.688			
08 Jun 06	22.706			
09 Jun 06	22.671			
12 Jun 06	22.747			
13 Jun 06	22.697			
14 Jun 06	22.701			
15 Jun 06	22.761			
16 Jun 06	22.795			
19 Jun 06	22.837			
20 Jun 06	2.283			
21 Jun 06	2.277			
22 Jun 06	22.725			
23 Jun 06	2.27			
26 Jun 06	22.664			
27 Jun 06	22.672			
28 Jun 06	2.267			
29 Jun 06	22.627			
30 Jun 06	22.657			
03 Jul 06	22.571			
04 Jul 06	22.624			
05 Jul 06	22.636			
06 Jul 06	22.604			
07 Jul 06	22.616			
10 Jul 06	22.661			
11 Jul 06	22.639			
12 Jul 06	22.651			
13 Jul 06	2.267			
14 Jul 06	2.269			
17 Jul 06	2.271			
18 Jul 06	22.888			
19 Jul 06	22.976			
20 Jul 06	22.999			
21 Jul 06	23.001			
24 Jul 06	23.073			
25 Jul 06	23.052			
26 Jul 06	23.075			
27 Jul 06	2.303			
28 Jul 06	2.298			
31 Jul 06	2.299			
01 Aug 06	2.308			
02 Aug 06	23.069			
03 Aug 06	23.272			
04 Aug 06	23.342			
07 Aug 06	23.347			
08 Aug 06	23.388			
09 Aug 06	23.333			
10 Aug 06	23.379			
11 Aug 06	23.462			
14 Aug 06	23.474			
15 Aug 06	23.442			
